"","percentile","suitability","km2"
"194","19.4%",0.000456731494341511,57093.0864316248
"195","19.5%",0.000461529140011407,57022.2330227433
"196","19.6%",0.000467218487756327,56950.6415575193
"197","19.7%",0.000472252839244902,56879.7881486379
"198","19.8%",0.000477316307660658,56809.6727960989
"199","19.9%",0.000482792596449145,56738.8193872174
"200","20.0%",0.000487551355035976,56667.9659783359
"201","20.1%",0.000492412241874263,56597.850625797
"202","20.2%",0.000496425072196871,56526.9972169155
"203","20.3%",0.000501864113903139,56456.143808034
"204","20.4%",0.000505976454587653,56385.2903991525
"205","20.5%",0.000512205508130137,56314.436990271
"206","20.6%",0.000517994581605308,56243.5835813895
"207","20.7%",0.000522775191348046,56172.7301725081
"208","20.8%",0.000527363375294954,56101.8767636266
"209","20.9%",0.000533597926551011,56031.0233547451
"210","21.0%",0.000538303487701342,55960.1699458636
"211","21.1%",0.000544083880959079,55889.3165369821
"212","21.2%",0.000547737319720909,55818.4631281007
"213","21.3%",0.000553103612037376,55747.6097192192
"214","21.4%",0.000557544527691789,55676.7563103377
"215","21.5%",0.000561722321435809,55605.1648451137
"216","21.6%",0.000566891673952341,55535.0494925747
"217","21.7%",0.000572654041752685,55464.1960836932
"218","21.8%",0.000578147507621907,55393.3426748118
"219","21.9%",0.000583746362826787,55322.4892659303
"220","22.0%",0.000589132774621248,55251.6358570488
"221","22.1%",0.000594049161009025,55180.7824481673
"222","22.2%",0.000599780885386281,55109.9290392858
"223","22.3%",0.000604633141483646,55039.0756304043
"224","22.4%",0.000610190362203866,54968.2222215229
"225","22.5%",0.000614859753113706,54897.3688126414
"226","22.6%",0.000620278474525549,54826.5154037599
"227","22.7%",0.000625152586144395,54755.6619948784
"228","22.8%",0.000630043196724728,54684.8085859969
"229","22.9%",0.000634837690449786,54613.9551771154
"230","23.0%",0.000639480553218164,54543.101768234
"231","23.1%",0.000645198799611535,54472.2483593525
"232","23.2%",0.000650258513633162,54401.394950471
"233","23.3%",0.000656259017705452,54330.5415415895
"234","23.4%",0.000661079029669054,54259.688132708
"235","23.5%",0.000666502310195938,54188.8347238266
"236","23.6%",0.000671915075508878,54117.9813149451
"237","23.7%",0.000677871766674798,54047.1279060636
"238","23.8%",0.000682872207835317,53976.2744971821
"239","23.9%",0.00068928972032154,53905.4210883006
"240","24.0%",0.000696350878570229,53834.5676794191
"241","24.1%",0.000702351568907034,53764.4523268802
"242","24.2%",0.000707846367731691,53693.5989179987
"243","24.3%",0.000714084497303702,53622.7455091172
"244","24.4%",0.000719624641351402,53551.8921002357
"245","24.5%",0.000725943042198196,53481.0386913542
"246","24.6%",0.000732338111265562,53410.1852824727
"247","24.7%",0.000739127580891363,53339.3318735913
"248","24.8%",0.000745099026244134,53268.4784647098
"249","24.9%",0.000750637818418909,53197.6250558283
"250","25.0%",0.000756619352614507,53126.7716469468
"251","25.1%",0.000763500924222171,53055.1801817228
"252","25.2%",0.000769043638138101,52985.0648291839
"253","25.3%",0.000774276784795802,52914.2114203024
"254","25.4%",0.000779620764660649,52843.3580114209
"255","25.5%",0.00078568140452262,52772.5046025394
"256","25.6%",0.000791696773376316,52700.9131373154
"257","25.7%",0.000798081578977872,52630.7977847764
"258","25.8%",0.000804790708934888,52559.944375895
"259","25.9%",0.000811251351842657,52489.0909670135
